id,title,user,game_url,submission_url,disqualified,ratings_count,judge_feedback_count,comments_count,windows,osx,linux,android,Upload Consent,Third Party Assets,Team Members
740027,Run,nbadami,https://nbadami.itch.io/run,https://itch.io/jam/wsoft-august-jam-2020/rate/740027,,5,1,0,true,true,,,"[""1""]","Yes: https://www.zapsplat.com/sound-effect-category/descend/page/4/ Falling whistle, cartoon, funny https://www.zapsplat.com/?s=rock+hit+ground&post_type=music&sound-effect-category-id= Large stone impact with grass, ground 1; Large stone impact with grass, ground 2, rickroll song","Daniel Sohn (@5052), Lucy Zhang (@vBoop), Natasha Badami (@Natasha), Naveen Sabharwal (@navel_saber^_^), Dilan Huang (@Kaixxdevil13)"
740021,Twin Limbs,Locally Genius,https://locally-genius.itch.io/twin-limbs,https://itch.io/jam/wsoft-august-jam-2020/rate/740021,,6,1,3,,,,,"[""1""]","A basic gear turning sound effect (www.youtube.com/watch?v=PaFDL5SrgJY), Old London font (www.dafont.com/old-london.font), GothicPixels font (www.dafont.com/gothicpixels.font), and m3x6 font (https://managore.itch.io/m3x6)","Teo Miklethun
Teo#2950"
739735,Lunar Respite,Musa Haydar,https://musahaydar.itch.io/lunar-respite,https://itch.io/jam/wsoft-august-jam-2020/rate/739735,,6,1,2,true,true,,,"[""1""]",Public domain fonts and sound effects. Sound effects were mostly modified.,Musa (shift#2801)
739159,Project Bullet,btschulz,https://btschulz.itch.io/bullet,https://itch.io/jam/wsoft-august-jam-2020/rate/739159,,4,1,0,,,,,"[""1""]",Audio:  https://www.youtube.com/watch?v=d_Yv2vNoO2c   (AC) https://www.youtube.com/watch?v=d4SUGM-a2_Y   (heater) https://www.youtube.com/watch?v=EfXDyi4_xqc&t=7s  (Light Buzzing) https://www.fesliyanstudios.com/play-mp3/7483 (gunshot)   Materials & Textures:  https://assetstore.unity.com/packages/2d/textures-materials/metals/yughues-free-metal-materials-12949   (metal materials) https://assetstore.unity.com/packages/2d/textures-materials/free-stylized-pbr-textures-pack-111778    (wood texture)  Models:  https://assetstore.unity.com/packages/3d/props/weapons/m40a3-sniper-rifle-107756    (rifle) https://assetstore.unity.com/packages/3d/props/electronics/free-pbr-security-camera-70061     (camera & TV) https://www.turbosquid.com/3d-models/ceiling-lights-tyson-3d-1556021     (hanging light),RomeoHC#3925
