id,title,user,game_url,submission_url,disqualified,ratings_count,judge_feedback_count,comments_count,windows,osx,linux,android
3116745,Productive Counter,nicofern,https://nicofern.itch.io/productive-counter,https://itch.io/jam/wsoft-turkey-jam-2024/rate/3116745,,0,0,0,,,,
3116736,Turkey Time,james_vancamp,https://james-vancamp.itch.io/turkey-time,https://itch.io/jam/wsoft-turkey-jam-2024/rate/3116736,,0,0,0,,,,
3116725,QWITTER,Caffeinauseated,https://caffeinauseated.itch.io/qwitter,https://itch.io/jam/wsoft-turkey-jam-2024/rate/3116725,,0,0,1,true,,,
3116660,DECODE,yxssposts,https://yxssposts.itch.io/decode,https://itch.io/jam/wsoft-turkey-jam-2024/rate/3116660,,0,0,2,,,,
3116569,ROOTS: 2,zstarlight,https://zstarlight.itch.io/roots-2,https://itch.io/jam/wsoft-turkey-jam-2024/rate/3116569,,0,0,0,true,true,,
3116249,Don't Flock Up!,tristanmac,https://tristanmcc.itch.io/dont-flock-up,https://itch.io/jam/wsoft-turkey-jam-2024/rate/3116249,,0,0,0,,,,
3116148,Spring In My Step,GavinMcG,https://gavinmcg.itch.io/spring-in-my-step,https://itch.io/jam/wsoft-turkey-jam-2024/rate/3116148,,0,0,0,true,,,
