id,title,user,game_url,submission_url,disqualified,ratings_count,judge_feedback_count,comments_count,windows,osx,linux,android,Team Members,Third Party Assets,Upload Consent
830359,"Runner, Runner",Treknishion,https://treknishion.itch.io/runner-runner,https://itch.io/jam/wsoft-turkey-2020/rate/830359,,3,0,0,,,,,,No,Yes
830352,Space Momentum,Isaac Huffman,https://isaac-huffman.itch.io/space-momentum,https://itch.io/jam/wsoft-turkey-2020/rate/830352,,3,0,1,,,,,"Isaac Huffman - Isaac H#6177, Sofia Huffman - Red#5553",LWJGL,Yes
830292,Meteor Shower,David Sohn,https://david-sohn.itch.io/meteor-shower,https://itch.io/jam/wsoft-turkey-2020/rate/830292,,4,0,0,,,,,David Sohn (Nitefire#4741),"Sound effects and music used externally, credits in description.",Yes
829007,Plight of the Penguin,kapitha,https://kapitha.itch.io/plight-of-the-penguin,https://itch.io/jam/wsoft-turkey-2020/rate/829007,,4,1,1,true,true,,,Lucy @vBoop / Faiyaz @Vandager / Val @vamalama / Naveen @val_saber^_^ / Natasha @Natasha / Kaavya @birds_arent_real,No,Yes
