id,title,user,game_url,submission_url,disqualified,ratings_count,judge_feedback_count,comments_count,windows,osx,linux,android
499218,Pumpkin Parade,cryscan,https://cryscan.itch.io/pumpkin-parade,https://itch.io/jam/wolverinesoft-2019-pumpkin-jam/rate/499218,,0,0,0,pumpkin-parade-Build.zip,,,
499216,Late to Area 51,seyhyun,https://seyhyun.itch.io/late-to-area-51,https://itch.io/jam/wolverinesoft-2019-pumpkin-jam/rate/499216,,0,0,0,Area 51 final build.zip,,,
499215,RSVP,ariopelle,https://ariopelle.itch.io/rsvp,https://itch.io/jam/wolverinesoft-2019-pumpkin-jam/rate/499215,,0,0,0,RSVP.zip,rsvp-mac.app.zip,,
499205,Crazy Uber,Nikhilbot75,https://nikhilbot75.itch.io/crazy-uber,https://itch.io/jam/wolverinesoft-2019-pumpkin-jam/rate/499205,,0,0,0,,,,
499166,WASTEDORBUSTED,htai,https://htai.itch.io/wastedorbusted,https://itch.io/jam/wolverinesoft-2019-pumpkin-jam/rate/499166,,0,0,0,WASTEDORBUSTED.zip,WASTEDORBUSTED.zip,,
