id,title,user,game_url,submission_url,disqualified,ratings_count,judge_feedback_count,comments_count,windows,osx,linux,android
3037426,Just Down The Block,milokerr,https://milokerr.itch.io/just-down-the-block,https://itch.io/jam/wsoft-pumpkin-jam-2024/rate/3037426,,0,0,1,,,,
3037368,Block Party,tristanmac,https://tristanmcc.itch.io/block-party,https://itch.io/jam/wsoft-pumpkin-jam-2024/rate/3037368,,0,0,0,,,,
3037362,Phantom Phalanx,nicofern,https://nicofern.itch.io/phantom-phalanx,https://itch.io/jam/wsoft-pumpkin-jam-2024/rate/3037362,,0,0,1,,,,
3037344,Asteroid Bouncer,jvmueller,https://jvmueller.itch.io/asteroid-bouncer,https://itch.io/jam/wsoft-pumpkin-jam-2024/rate/3037344,,0,0,1,true,,,
3037234,A Block Named Square,Dihydrogen,https://dihydrogen.itch.io/a-block-named-square,https://itch.io/jam/wsoft-pumpkin-jam-2024/rate/3037234,,0,0,1,true,true,true,
3037183,ROOTS: 2077,zstarlight,https://zstarlight.itch.io/roots-2077,https://itch.io/jam/wsoft-pumpkin-jam-2024/rate/3037183,,0,0,0,true,true,true,
3036968,Blocks Must Win,sumwun1,https://sumwun1.itch.io/blocks-must-win,https://itch.io/jam/wsoft-pumpkin-jam-2024/rate/3036968,,0,0,0,,,,
3035912,Blocky Valley,Kcyber_lv,https://kcyber-lv.itch.io/blocky-valley,https://itch.io/jam/wsoft-pumpkin-jam-2024/rate/3035912,,0,0,0,true,,,
3034867,The World's Hardest Trip,GavinMcG,https://gavinmcg.itch.io/the-worlds-hardest-trip,https://itch.io/jam/wsoft-pumpkin-jam-2024/rate/3034867,,0,0,1,,,,
